ID,Name,Type,Area,Website URL,Logo URL,Logo URL (Small),Officer Count
99,Skull Garrison,Garrison,"Mexico: Michoacán, Coahuila, Nuevo Leon, Tamaulipas, San Luis, Guanajuato, Queretaro ",www.skullgarrison.com/,https://www.501st.com/images/logos/125px/Skull-Garrison.png,https://www.501st.com/images/logos/62px/Skull-Garrison.png,10
100,Southern Dewback Garrison,Garrison,South Australia,www.501sdg.com ,https://www.501st.com/images/logos/125px/Southern-Dewback-Garrison.png,https://www.501st.com/images/logos/62px/Southern-Dewback-Garrison.png,17
101,Brunei Outpost,Outpost,Brunei Darussalam ,501stbrunei.wordpress.com/ ,https://www.501st.com/images/logos/125px/Brunei-Outpost.png,https://www.501st.com/images/logos/62px/Brunei-Outpost.png,3
103,Jaguar Outpost,Outpost,Guatemala,www.facebook.com/jaguaroutpost,https://www.501st.com/images/logos/125px/Jaguar-Outpost.png,https://www.501st.com/images/logos/62px/Jaguar-Outpost.png,3
104,Brazil: Novo Império Garrison,Garrison,"North, East, West, and Central Brazil",www.garrisonnovoimperiobrasil.com.br,https://www.501st.com/images/logos/125px/Novo-Imperio.png,https://www.501st.com/images/logos/62px/Novo-Imperio.png,7
105,South African Outpost,Outpost,South Africa,www.501st.co.za ,https://www.501st.com/images/logos/125px/South-African-Outpost.png,https://www.501st.com/images/logos/62px/South-African-Outpost.png,4
107,Canada: Outer Rim Garrison,Garrison,Canada: British Columbia,www.outerrimgarrison.com,https://www.501st.com/images/logos/125px/Outer-Rim-Garrison.png,https://www.501st.com/images/logos/62px/Outer-Rim-Garrison.png,26
111,California: Imperial Sands Garrison,Garrison,San Diego and Imperial Counties,www.imperialsandsgarrison.com/ ,https://www.501st.com/images/logos/125px/Imperial-Sands-Garrison.png,https://www.501st.com/images/logos/62px/Imperial-Sands-Garrison.png,15
114,Diamond Garrison,Garrison,Arkansas,www.ar501st.com,https://www.501st.com/images/logos/125px/Diamond-Garrison.png,https://www.501st.com/images/logos/62px/Diamond-Garrison.png,18
115,Luxembourg Garrison,Garrison,Luxembourg,www.501stluxembourggarrison.lu/,https://www.501st.com/images/logos/125px/Luxembourg-Garrison.png,https://www.501st.com/images/logos/62px/Luxembourg-Garrison.png,7
119,Colombia Garrison,Garrison,"Colombia, South America",501st.com.co,https://www.501st.com/images/logos/125px/Colombia-Garrison.png,https://www.501st.com/images/logos/62px/Colombia-Garrison.png,11
120,Garrison Corellia,Garrison,West Virginia,garrisoncorellia.com/,https://www.501st.com/images/logos/125px/Garrison-Corellia.png,https://www.501st.com/images/logos/62px/Garrison-Corellia.png,10
122,Uruguay Outpost,Outpost,Uruguay,www.501st.com.uy/,https://www.501st.com/images/logos/125px/Uruguay-Outpost.png,https://www.501st.com/images/logos/62px/Uruguay-Outpost.png,1
123,Ukraine Outpost,Outpost,Ukraine,501stlegion.com.ua/,https://www.501st.com/images/logos/125px/Ukraine-Outpost.png,https://www.501st.com/images/logos/62px/Ukraine-Outpost.png,1
124,Danish Garrison,Garrison,Denmark,www.danishgarrison.dk,https://www.501st.com/images/logos/125px/Danish-Garrison.png,https://www.501st.com/images/logos/62px/Danish-Garrison.png,15
125,Arctic Outpost,Outpost,Nunavut,www.arcticoutpost.ca/,https://www.501st.com/images/logos/125px/Arctic-Outpost.png,https://www.501st.com/images/logos/62px/Arctic-Outpost.png,1
126,Canada: Forteresse Imperiale Garrison,Garrison,"Province of Quebec, Canada",501stqc.ca,https://www.501st.com/images/logos/125px/Forteresse-Imperiale.png,https://www.501st.com/images/logos/62px/Forteresse-Imperiale.png,20
127,Oklahoma Garrison,Garrison,Oklahoma,www.ok501st.com/,https://www.501st.com/images/logos/125px/Oklahoma-Garrison.png,https://www.501st.com/images/logos/62px/Oklahoma-Garrison.png,21
128,Knightfall Garrison,Garrison,Victoria Australia,WWW.501KFG.COM,https://www.501st.com/images/logos/125px/Knightfall-Garrison.png,https://www.501st.com/images/logos/62px/Knightfall-Garrison.png,16
129,Desert Scorpion Garrison,Garrison,Western Australia,501stdsg.com/,https://www.501st.com/images/logos/125px/Desert-Scorpion-Garrison.png,https://www.501st.com/images/logos/62px/Desert-Scorpion-Garrison.png,11
131,Garuda Garrison Indonesia,Garrison,Indonesia,www.501st.id,https://www.501st.com/images/logos/125px/Garuda-Garrison.png,https://www.501st.com/images/logos/62px/Garuda-Garrison.png,16
132,Starkiller Garrison,Garrison,Western Pennsylvania ,www.starkillergarrison.com,https://www.501st.com/images/logos/125px/Starkiller-Garrison.png,https://www.501st.com/images/logos/62px/Starkiller-Garrison.png,18
134,Cyprus Outpost,Outpost,Republic of Cyprus,www.501cyprus.com/,https://www.501st.com/images/logos/125px/Cyprus-Outpost.png,https://www.501st.com/images/logos/62px/Cyprus-Outpost.png,1
135,First State Garrison,Garrison,State of Delaware USA,firststategarrison.com,https://www.501st.com/images/logos/125px/First-State-Garrison.png,https://www.501st.com/images/logos/62px/First-State-Garrison.png,8
